subject tBodyAccMeanX tBodyAccMeanY tBodyAccMeanZ tGravityAccMeanX tGravityAccMeanY tGravityAccMeanZ tBodyAccJerkMeanX tBodyAccJerkMeanY tBodyAccJerkMeanZ tBodyGyroMeanX tBodyGyroMeanY tBodyGyroMeanZ tBodyGyroJerkMeanX tBodyGyroJerkMeanY tBodyGyroJerkMeanZ tBodyAccMagMean tGravityAccMagMean tBodyAccJerkMagMean tBodyGyroMagMean tBodyGyroJerkMagMean fBodyAccMeanX fBodyAccMeanY fBodyAccMeanZ fBodyAccJerkMeanX fBodyAccJerkMeanY fBodyAccJerkMeanZ fBodyGyroMeanX fBodyGyroMeanY fBodyGyroMeanZ fBodyAccMagMean fBodyBodyAccJerkMagMean fBodyBodyGyroMagMean fBodyBodyGyroJerkMagMean tBodyAccStdX tBodyAccStdY tBodyAccStdZ tGravityAccStdX tGravityAccStdY tGravityAccStdZ tBodyAccJerkStdX tBodyAccJerkStdY tBodyAccJerkStdZ tBodyGyroStdX tBodyGyroStdY tBodyGyroStdZ tBodyGyroJerkStdX tBodyGyroJerkStdY tBodyGyroJerkStdZ tBodyAccMagStd tGravityAccMagStd tBodyAccJerkMagStd tBodyGyroMagStd tBodyGyroJerkMagStd fBodyAccStdX fBodyAccStdY fBodyAccStdZ fBodyAccJerkStdX fBodyAccJerkStdY fBodyAccJerkStdZ fBodyGyroStdX fBodyGyroStdY fBodyGyroStdZ fBodyAccMagStd fBodyBodyAccJerkMagStd fBodyBodyGyroMagStd fBodyBodyGyroJerkMagStd
1 0.265696920582133 -0.0182981725176081 -0.10784573454611 0.744867411573487 -0.0825562579855908 0.072339870389049 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.453632943768818 -0.453632943768818 -0.545431612066571 -0.475404785802305 -0.639517432642651 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.478448523354179 -0.499075765624092 -0.535002770337752 -0.645970655298847 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.497096402038329 -0.497096402038329 -0.515922167555159 -0.499839593745821 -0.652050770910663 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.589710231217867 -0.541823079570029 -0.566576670397695 -0.685811262634006
2 0.273113115788079 -0.0191323183174834 -0.115649958175497 0.660782866688742 -0.147219886910411 0.134865335090728 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.514569861316887 -0.509746432970861 -0.699742945221854 -0.751615078360927 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.552812545643709 -0.552812545643709 -0.512115278415232 -0.680584887880795 -0.740088733655629 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.646662308457285 -0.518800797709272 -0.725310337688742 -0.744194981440397
3 0.273428719636364 -0.017856067384956 -0.106492632429097 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.579076453758064 -0.604752108072727 -0.716822144279179 -0.810085498651026 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.591224780306452 -0.591224780306452 -0.607658214170381 -0.674010290979472 -0.80366136372434 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.663079838985044 -0.615643694857361 -0.703839403007038 -0.810032718739003
4 0.274183111498423 -0.0148081545344921 -0.107521430810726 0.706593043123028 0.112591195496986 0.164130896618297 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.602098037677603 -0.63501900541041 -0.745650754608833 -0.838833209652997 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.962636979274448 -0.941416800167192 -0.941403426072555 -0.631853083289621 -0.584063204701893 -0.843353231167192 -0.701397703369085 -0.79823574873817 -0.726374197066246 -0.723788617823344 -0.902502592618297 -0.748369141315457 -0.606556049548896 -0.606556049548896 -0.647249966810726 -0.706738493542587 -0.844187064164038 -0.597551324155678 -0.534661524341987 -0.708764043722397 -0.644622004704416 -0.593855151524606 -0.860544668359621 -0.721749187328076 -0.782885735867508 -0.7670895729653 -0.672948341687697 -0.666506718936908 -0.732586304826498 -0.863096864037855
5 0.279177960301325 -0.0154833455336192 -0.105661736816887 0.698153719072848 0.112313109736755 0.0921607197449904 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.528503022745033 -0.573176177044172 -0.677355755703311 -0.748829309536424 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.52162345171192 -0.52162345171192 -0.589031268133113 -0.664078383532781 -0.734187493344371 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.594259529756954 -0.613485123609272 -0.715731148145695 -0.735610602483444
6 0.272376614181538 -0.0175697042641846 -0.11599454136 0.688702063569231 0.0162055455953846 0.0475199990906462 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.473974924380431 -0.494882316238462 -0.579130051151385 -0.651886909221538 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.483790606354154 -0.483790606354154 -0.502935062310769 -0.579837818063692 -0.644474485460492 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.570910289993846 -0.516711262173969 -0.657368673849846 -0.660175875210246
7 0.270211697814935 -0.0187904887668182 -0.112492375388312 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.518323878824675 -0.553360009658182 -0.628877272791136 -0.668879188156396 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.615131377408279 -0.622997416262013 -0.664336860544416 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.701731200484416 -0.674920114957468 -0.750808705594156 -0.510669879158539 -0.510669879158539 -0.550560230585714 -0.598670795839286 -0.658017844948377 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.626785744584416 -0.62853163071948 -0.684856438953896 -0.703883646896104 -0.671161922837662 -0.698949518905844 -0.583819796092208 -0.550683254908442 -0.650923648207792 -0.668963362464935
8 0.270759063295374 -0.0181894974688612 -0.106809623683986 0.647498175409253 0.0303211113118861 0.0836542406807936 0.084215745375516 0.000860301581786477 -0.0196719912994306 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.468522592843416 -0.468522592843416 -0.534248616612028 -0.476214943826192 -0.673625525658363 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.512106792856939 -0.529244911130605 -0.609984289180071 -0.70215621546726 -0.582958863017438 -0.349383732046263 -0.499472687913167 -0.954256666035587 -0.94844645047331 -0.923180663601423 -0.575993073911744 -0.458724925167972 -0.66835678475516 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.554038979266192 -0.554038979266192 -0.564471999961566 -0.581422885341281 -0.715838385516014 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.651638076286121 -0.618027414911032 -0.636673891144128 -0.755717299964413
9 0.270313841621528 -0.0209466555412396 -0.101233826213889 0.670845545555556 -0.0467446999509028 0.104353653032743 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.505183470509188 -0.505183470509188 -0.621608245092361 -0.550201866572569 -0.7629795809375 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.553186448295139 -0.609193721940625 -0.700863097986111 -0.786473954201389 -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.958784666180556 -0.949938115208333 -0.920554317815972 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.553038255314792 -0.553038255314792 -0.608862145384722 -0.663198385034722 -0.786176892048611 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.624456827182986 -0.611619343190972 -0.697729432621528 -0.801296292638889
10 0.27684847392517 -0.017835790552415 -0.111301532185714 0.642905730306122 -0.0740248544557823 0.0552047227876769 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.502500207000204 -0.502500207000204 -0.57776193128833 -0.521819802352381 -0.734465805340136 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.518734046961905 -0.515140810846939 -0.661496552826531 -0.767780095068027 -0.537807711163265 -0.497405885644898 -0.614776952226361 -0.965808126428571 -0.95452407255102 -0.938706428064626 -0.52938321427551 -0.540236619204728 -0.750729260772109 -0.67390558227449 -0.591333155194558 -0.598142328621088 -0.703243499727891 -0.768641779047619 -0.686800252738095 -0.545348810631551 -0.545348810631551 -0.529340480130272 -0.624408369413333 -0.768821828979592 -0.541170169070068 -0.532135172812313 -0.625871772082993 -0.553403478735408 -0.556271725483333 -0.77916817122449 -0.692654261914966 -0.565943677806122 -0.645947720476871 -0.633196110969728 -0.553027359614864 -0.666014612598639 -0.787144257176871
